                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.72163,                0.46458,                 1.0352,                0.89488,                0.82552,                 0.8995,                0.65637,                0.89794,                0.84616,                 1.2069,             0.00074804,             0.00074804,             0.00074804
                     36,                0.70501,                0.46409,                  1.054,                0.81203,                0.89571,                0.90325,                0.66672,                0.88021,                 0.8445,                 1.2114,             0.00073704,             0.00073704,             0.00073704
                     37,                0.69258,                 0.4548,                 1.0543,                0.85085,                0.83568,                0.89479,                 0.6516,                0.86622,                0.97379,                 1.1785,             0.00072604,             0.00072604,             0.00072604
                     38,                0.68986,                0.43743,                 1.0462,                0.85498,                0.72968,                0.74928,                0.53026,                0.97622,                 1.5563,                 1.2895,             0.00071504,             0.00071504,             0.00071504
                     39,                0.70652,                0.45103,                 1.0497,                 0.8365,                0.74175,                0.79996,                0.59031,                0.90398,                 1.6296,                 1.2113,             0.00070404,             0.00070404,             0.00070404
                     40,                0.67651,                0.43075,                 1.0265,                0.79564,                0.82242,                 0.8246,                0.61892,                0.90394,                  1.313,                 1.2143,             0.00069304,             0.00069304,             0.00069304
                     41,                 0.6956,                0.43126,                 1.0449,                0.86682,                0.81391,                0.84855,                0.64365,                0.86594,                  1.163,                 1.1836,             0.00068204,             0.00068204,             0.00068204
                     42,                0.65336,                0.41785,                 1.0192,                 0.8849,                0.75124,                0.87478,                0.65708,                0.88934,                 1.0541,                 1.2206,             0.00067104,             0.00067104,             0.00067104
                     43,                0.68618,                0.43412,                 1.0382,                0.89402,                 0.7554,                0.81426,                 0.6315,                 0.9061,                 1.2922,                 1.2572,             0.00066005,             0.00066005,             0.00066005
                     44,                0.67374,                0.40907,                 1.0424,                0.84397,                0.83681,                0.82375,                 0.6219,                 0.9151,                 1.1409,                 1.2709,             0.00064905,             0.00064905,             0.00064905
                     45,                0.66726,                0.41125,                 1.0403,                0.90565,                 0.8299,                0.87834,                0.66294,                 0.8538,                0.95534,                 1.2149,             0.00063805,             0.00063805,             0.00063805
